Name,Description,Link
Tether,Digital Money For A Digital Age,https://tether.to/
TrustToken,The First Regulated Stablecoin Backed By USD,https://www.trusttoken.com/trueusd
Stably,Access The Decentralised Economy Without The Volatility,https://www.stably.io/
X8X,An Alternative To Value Preservation Assets,https://www.x8currency.com/
Jibrel,Compliant Stable Coins,https://jibrel.network/
Libra,Facebooks Stablecoin Backed By A Basket Of Financial Assets,https://en.wikipedia.org/wiki/Libra_(cryptocurrency)
Globcoin,Stablecoin Backed By A Global Currency Basket,https://globcoin.io/
Stasis,Bridging Decentralized Finance & Off-Chain Markets,https://stasis.net/
eToro Native Tokens,Stablecoins Pegged To Global Currencies,https://www.etoro.com/
Everex,Pegged To The Thai Bhat,https://everex.io/products/
Monerium,Approved By The Financial Authority Of Iceland,https://monerium.com/
Stronghold,Powering Cross Border Payments & FX Networks,https://stronghold.co/
PHP Bitspark,Pegged To The Philippine Peso,https://www.bitspark.io/
Gemini Dollar,US Dollars On The Blockchain,https://gemini.com/dollar/
Paxos Standard,The New Digital Dollar,https://www.paxos.com/pax/
Binance GBP,Binance Jersey’s Stable Fiat To Cryptocurrency,https://www.binance.je/en
Bitshares,Freedom Of Cryptocurrency With The Stability Of The Dollar,https://bitshares.org/technology/price-stable-cryptocurrencies/
MakerDAO,Transparent & Sustainable Finance,https://makerdao.com/en/
Sweetbridge,Real Time Financial System,https://sweetbridge.com/
Synthetix,Decentralised Synthetic Assets,https://www.synthetix.io/
Augmint,Stable Digital Tokens,https://www.augmint.org/
Staticoin,Stablecoin Solution For Traders & Merchants,http://staticoin.com/
Alchemint,Stablecoins Issuing Platform,https://alchemint.io/#/home
Carbon,Fiat To Crypto Made Simpler,https://www.carbon.money/
NuBits,World’s Best Stable Digital Currencies,https://nubits.com/
Corion,Maintained By An Automated Inflation & Deflation Control,https://www.corion.io/
Reserve,Stablecoin For Scaling Prosperity,https://reserve.org/
Saga,Towards A New Currency,https://www.saga.org/
Aurora,Stablecoin Of The Aurora Network,https://auroradao.com/platform/boreal/
Equilibrium,EOS Based Stablecoin Pegged To USD,https://eosdt.com/
Stableunit,Decentrazlied Privacy E-Cash,https://stableunit.org/
Terra Money,Foundation For The Future Of Decentralized Finance,https://terra.money/
BitBay,Stabilized Via A Dynamic Peg,https://bitbay.market/
Stable,Stabilising Digital Tokens Universe,https://stable.foundation/
Digix Global,Gold On The Blockchain,https://digix.global/dgx
Hello Gold,Gold Backed Stablecoin,https://medium.com/hellogold/announcing-gbt-4cc93829adeb
